n_rl_m,chi_rl_rad,s_ref_rl_m,theta_ref_rl_rad,mu_ref_rl_rad,phi_ref_rl_rad,dtheta_ref_rl_radpm,dmu_ref_rl_radpm,dphi_ref_rl_radpm
-0.015944,0.000216,63.990713,0.113181,-0.000299,-0.017096,0.000089,-0.000001,0.000017
-0.015728,0.000217,64.990568,0.11327,-0.0003,-0.017079,0.00009,-0.000001,0.000017
-0.01551,0.000218,65.990423,0.11336,-0.000301,-0.017062,0.00009,-0.000001,0.000016
-0.015291,0.000219,66.990278,0.113451,-0.000302,-0.017046,0.000091,-0.000001,0.000016
-0.015071,0.000221,67.990132,0.113542,-0.000303,-0.01703,0.000091,-0.000001,0.000016
-0.01485,0.000222,68.989987,0.113633,-0.000304,-0.017014,0.000092,-0.000001,0.000015
-0.014628,0.000222,69.989842,0.113725,-0.000305,-0.016999,0.000092,-0.000001,0.000015
-0.014405,0.000223,70.989697,0.113817,-0.000306,-0.016984,0.000093,-0.000001,0.000015
-0.014181,0.000224,71.989552,0.11391,-0.000308,-0.01697,0.000093,-0.000001,0.000014
-0.013957,0.000225,72.989407,0.114003,-0.000309,-0.016956,0.000093,-0.000001,0.000014
-0.013732,0.000226,73.989262,0.114097,-0.00031,-0.016942,0.000094,-0.000001,0.000013
-0.013506,0.000226,74.989117,0.114191,-0.000311,-0.016929,0.000094,-0.000001,0.000013
-0.013279,0.000227,75.988972,0.114285,-0.000312,-0.016916,0.000095,-0.000001,0.000013
-0.013052,0.000228,76.988826,0.11438,-0.000314,-0.016904,0.000095,-0.000001,0.000012
-0.012824,0.000228,77.988681,0.114475,-0.000315,-0.016891,0.000095,-0.000001,0.000012
-0.012596,0.000229,78.988536,0.11457,-0.000316,-0.016879,0.000096,-0.000001,0.000012
-0.012367,0.000229,79.988391,0.114666,-0.000318,-0.016868,0.000096,-0.000001,0.000011
-0.012138,0.000229,80.988246,0.114762,-0.000319,-0.016857,0.000096,-0.000002,0.000011
-0.011908,0.00023,81.988101,0.114859,-0.000321,-0.016846,0.000097,-0.000002,0.000011
-0.011679,0.00023,82.987956,0.114956,-0.000323,-0.016835,0.000097,-0.000002,0.00001
-0.011449,0.00023,83.987811,0.115053,-0.000324,-0.016825,0.000097,-0.000002,0.00001
-0.011219,0.00023,84.987666,0.11515,-0.000326,-0.016815,0.000098,-0.000002,0.00001
-0.010988,0.00023,85.98752,0.115248,-0.000328,-0.016805,0.000098,-0.000002,0.000009
-0.010758,0.00023,86.987375,0.115346,-0.000331,-0.016796,0.000098,-0.000002,0.000009
-0.010528,0.00023,87.98723,0.115444,-0.000333,-0.016787,0.000098,-0.000003,0.000009
-0.010297,0.00023,88.987085,0.115543,-0.000336,-0.016779,0.000099,-0.000003,0.000008
-0.010067,0.00023,89.98694,0.115641,-0.000339,-0.01677,0.000099,-0.000003,0.000008
-0.009838,0.00023,90.986795,0.11574,-0.000342,-0.016762,0.000099,-0.000003,0.000008
-0.009608,0.000229,91.98665,0.11584,-0.000346,-0.016755,0.000099,-0.000004,0.000007
-0.009379,0.000229,92.986505,0.115939,-0.00035,-0.016747,0.0001,-0.000004,0.000007
-0.00915,0.000228,93.98636,0.116039,-0.000354,-0.01674,0.0001,-0.000005,0.000007
-0.008922,0.000228,94.986214,0.116139,-0.000359,-0.016734,0.0001,-0.000005,0.000006
-0.008695,0.000227,95.986069,0.116239,-0.000364,-0.016727,0.0001,-0.000005,0.000006
-0.008468,0.000226,96.985924,0.116339,-0.000369,-0.016721,0.0001,-0.000005,0.000006
-0.008242,0.000226,97.985779,0.116439,-0.000375,-0.016716,0.0001,-0.000006,0.000006
-0.008017,0.000225,98.985634,0.11654,-0.000381,-0.01671,0.000101,-0.000006,0.000005
-0.007793,0.000224,99.985489,0.116641,-0.000386,-0.016705,0.000101,-0.000006,0.000005
-0.00757,0.000222,100.985344,0.116741,-0.000392,-0.016701,0.000101,-0.000006,0.000005
-0.007348,0.000221,101.985199,0.116842,-0.000398,-0.016696,0.000101,-0.000006,0.000004
-0.007128,0.00022,102.985054,0.116943,-0.000404,-0.016693,0.000101,-0.000006,0.000004
-0.006908,0.000219,103.984908,0.117044,-0.00041,-0.016689,0.000101,-0.000006,0.000003
-0.006691,0.000217,104.984763,0.117145,-0.000416,-0.016686,0.000101,-0.000006,0.000003
-0.006474,0.000215,105.984618,0.117246,-0.000423,-0.016683,0.000101,-0.000007,0.000002
-0.00626,0.000214,106.984473,0.117348,-0.00043,-0.016681,0.000101,-0.000007,0.000002
-0.006047,0.000212,107.984328,0.117449,-0.000438,-0.016679,0.000101,-0.000009,0.000001
-0.005836,0.00021,108.984183,0.11755,-0.000448,-0.016678,0.000101,-0.00001,0.000001
-0.005627,0.000208,109.984038,0.117651,-0.000459,-0.016678,0.000101,-0.000013,0
-0.00542,0.000206,110.983893,0.117752,-0.000473,-0.016679,0.000101,-0.000015,-0.000001
-0.005215,0.000204,111.983748,0.117853,-0.00049,-0.01668,0.000101,-0.000019,-0.000002
-0.005011,0.000202,112.983602,0.117954,-0.000511,-0.016683,0.000101,-0.000023,-0.000003
-0.00481,0.0002,113.983457,0.118055,-0.000536,-0.016687,0.000101,-0.000027,-0.000004
-0.004611,0.000198,114.983312,0.118155,-0.000565,-0.016692,0.000101,-0.000031,-0.000006
-0.004415,0.000196,115.983167,0.118256,-0.000599,-0.016698,0.0001,-0.000036,-0.000007
-0.00422,0.000194,116.983022,0.118356,-0.000636,-0.016706,0.0001,-0.000039,-0.000008
-0.004027,0.000191,117.982877,0.118456,-0.000676,-0.016715,0.0001,-0.000041,-0.00001
-0.003837,0.000189,118.982732,0.118556,-0.000718,-0.016725,0.0001,-0.000042,-0.000011
-0.003649,0.000187,119.982587,0.118655,-0.000759,-0.016737,0.0001,-0.000041,-0.000012
-0.003463,0.000185,120.982442,0.118755,-0.000798,-0.016749,0.000099,-0.000037,-0.000013
-0.00328,0.000182,121.982297,0.118854,-0.000832,-0.016763,0.000099,-0.000031,-0.000014
-0.0031,0.000179,122.982151,0.118953,-0.00086,-0.016777,0.000099,-0.000023,-0.000014
-0.002922,0.000176,123.982006,0.119051,-0.000879,-0.016791,0.000099,-0.000014,-0.000014
-0.002747,0.000173,124.981861,0.11915,-0.000889,-0.016805,0.000098,-0.000005,-0.000014
-0.002576,0.00017,125.981716,0.119248,-0.00089,-0.016819,0.000098,0.000003,-0.000013
-0.002408,0.000166,126.981571,0.119346,-0.000884,-0.016831,0.000098,0.000008,-0.000012
-0.002243,0.000163,127.981426,0.119443,-0.000875,-0.016843,0.000098,0.000011,-0.000011
-0.002082,0.000159,128.981281,0.119541,-0.000864,-0.016853,0.000097,0.00001,-0.00001
-0.001926,0.000155,129.981136,0.119638,-0.000857,-0.016862,0.000097,0.000006,-0.000008
-0.001772,0.000151,130.980991,0.119736,-0.000855,-0.01687,0.000097,-0.000002,-0.000007
-0.001623,0.000147,131.980845,0.119833,-0.000862,-0.016877,0.000097,-0.000012,-0.000006
-0.001478,0.000144,132.9807,0.11993,-0.00088,-0.016883,0.000097,-0.000024,-0.000006
-0.001336,0.00014,133.980555,0.120027,-0.00091,-0.016889,0.000097,-0.000036,-0.000006
-0.001198,0.000136,134.98041,0.120124,-0.000951,-0.016895,0.000097,-0.000046,-0.000006
-0.001063,0.000133,135.980265,0.12022,-0.001001,-0.016902,0.000097,-0.000055,-0.000007
-0.000932,0.000129,136.98012,0.120317,-0.001059,-0.016909,0.000097,-0.000061,-0.000008
-0.000804,0.000126,137.979975,0.120414,-0.001122,-0.016917,0.000097,-0.000065,-0.000009
-0.00068,0.000122,138.97983,0.120511,-0.001188,-0.016927,0.000097,-0.000067,-0.00001
-0.00056,0.000119,139.979685,0.120607,-0.001256,-0.016937,0.000097,-0.000067,-0.000011
-0.000443,0.000115,140.979539,0.120704,-0.001322,-0.016949,0.000096,-0.000066,-0.000012
-0.00033,0.000111,141.979394,0.1208,-0.001388,-0.016962,0.000096,-0.000065,-0.000014
-0.00022,0.000108,142.979249,0.120896,-0.001452,-0.016976,0.000096,-0.000063,-0.000015
-0.000114,0.000104,143.979104,0.120992,-0.001515,-0.016992,0.000096,-0.000062,-0.000016
-0.000012,0.0001,144.978959,0.121088,-0.001576,-0.017008,0.000096,-0.00006,-0.000017
0.000086,0.000096,145.978814,0.121184,-0.001635,-0.017025,0.000096,-0.00006,-0.000018
0.000181,0.000093,146.978669,0.121279,-0.001695,-0.017044,0.000095,-0.000059,-0.000019
0.000272,0.000089,147.978524,0.121375,-0.001754,-0.017063,0.000095,-0.000059,-0.000019
0.000359,0.000085,148.978379,0.121469,-0.001813,-0.017082,0.000095,-0.000059,-0.00002
0.000442,0.000082,149.978233,0.121564,-0.001873,-0.017102,0.000094,-0.00006,-0.00002
0.000522,0.000078,150.978088,0.121658,-0.001932,-0.017123,0.000094,-0.00006,-0.000021
0.000598,0.000074,151.977943,0.121752,-0.001992,-0.017144,0.000094,-0.00006,-0.000021
0.000671,0.000071,152.977798,0.121846,-0.002053,-0.017165,0.000093,-0.000061,-0.000021
0.00074,0.000067,153.977653,0.121939,-0.002114,-0.017186,0.000093,-0.000061,-0.000021
0.000805,0.000063,154.977508,0.122031,-0.002176,-0.017208,0.000092,-0.000062,-0.000022
0.000865,0.000059,155.977363,0.122123,-0.002238,-0.01723,0.000092,-0.000063,-0.000022
